"Be the first to review this product","Viết nhận xét về sản phẩm"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Chỉ có thành viên có thể viết đánh giá. Làm ơn, <a href=""%s"">Đăng nhập</a> hoặc <a href=""%s"">Đăng ký</a>"
"Customer Reviews","Khách Hàng Nhận Xét"
"Thank you for reviewing","Cảm ơn bạn đã nhận xét"
"%d Review(s)","%d Đánh giá"
"%s Reviews","%s Nhận xét"
"Write Review","Gửi nhận xét"
"Average Rating","Đánh giá trung bình"
"Write Your Own Review","Gửi nhận xét của bạn"
"You're reviewing:","Bạn đang nhận xét:"
"Enter your review","Viết nhận xét của bạn"
"How do you rate this product?","Bạn đánh giá sản phẩm này?"
"1 star","1 Sao"
"2 stars","2 Sao"
"3 stars","3 Sao"
"4 stars","4 Sao"
"5 stars","5 Sao"
"Add New Review","Thêm mới đánh giá"
"Add Your Review","Thêm đánh giá của bạn"
"Please select one of each of the ratings above","Hãy chọn đánh giá của bạn"
"Summary of Your Review","Tiêu đề của nhận xét"
"Nickname","Tên của bạn"
"About %s ago","khoảng %s trước"
"day","ngày"
"hours","giờ"
"minute","phút"
"second","giây"
"See More","Xem thêm"
"Show more comments","Xem thêm comments"
"Report","Báo xấu"
"Reported","Đã báo xấu"
"%s Comment","%s Nhận xét"
"Sort By","Sắp xếp theo"
"Send","Gửi"
"Cancel","Hủy"
"Reply","Trả lời"
"Thank you for your vote.","Cảm ơn bạn đã đánh giá."
"You can vote only once for the same review","Bạn có thể đánh giá 1 lần cùng với nhận xét"
"You need log in to vote review","Bạn cần đăng nhập để nhận xét"
"Nickname can\'t be empty","Tên của bạn không được để trống"
"Review can\'t be empty","Nhận xét không được để trống"
"Enter your answer in this content. Minimum 100 words, maximum 1500 words.","Nhập câu trả lời của bạn trong nội dung này. Tối thiểu 100 từ, tối đa 1.500 từ."
"Answer","Trả lời"
"By admin","Quản trị viên"
"%d ratings","%d đánh giá"
